ID,ISIN,BUY_DATE,SELL_DATE,BUY_PRICE,SELL_PRICE,SHARES,GROSS_PROFIT,FEES,PREDICTED_PRICE,MODEL
1,AT0000652011,2023-08-28,2023-09-08,100.0,110.0,40,400.0,1.0,109.0,lstm_regressor
2,AT0000937503,2023-09-04,2023-09-15,27.78,26.96,36,-29.52,1.0,18.98,lstm_regressor
